time,min_depth,max_depth,failure
1.31707e+07,3.3,3.4,1
1.31716e+07,3.3,3.4,1
1.32526e+07,3.3,3.4,1
1.32535e+07,3.3,3.4,1
1.32544e+07,3.3,3.4,1
1.32553e+07,3.3,3.4,1
1.32589e+07,3.3,3.4,1
1.32634e+07,3.3,3.4,1
1.32643e+07,3.3,3.4,1
1.3267e+07,3.3,3.4,1
1.32679e+07,3.3,3.4,1
1.32688e+07,3.3,3.4,1
1.32697e+07,3.3,3.4,1
1.32706e+07,3.3,3.4,1
1.32733e+07,3.3,3.4,1
1.3276e+07,3.3,3.4,1
1.32796e+07,3.3,3.4,1
1.32814e+07,3.3,3.4,1
1.32823e+07,3.3,3.4,1
1.32832e+07,3.3,3.4,1
1.32841e+07,3.3,3.4,1
1.3285e+07,3.3,3.4,1
1.32859e+07,3.3,3.4,1
1.32868e+07,3.3,3.4,1
1.32877e+07,3.3,3.4,1
1.32895e+07,3.3,3.4,1
1.32904e+07,3.3,3.4,1
1.32913e+07,3.3,3.4,1
1.32922e+07,3.3,3.4,1
1.32931e+07,3.3,3.4,1
1.3294e+07,3.3,3.4,1
1.32949e+07,3.3,3.4,1
1.32958e+07,3.3,3.4,1
1.32967e+07,3.3,3.4,1
1.32985e+07,3.3,3.4,1
1.33003e+07,3.3,3.4,1
1.33012e+07,3.3,3.4,1
1.33021e+07,3.3,3.4,1
1.3303e+07,3.3,3.4,1
1.33039e+07,3.3,3.4,1
1.33048e+07,3.3,3.4,1
1.33057e+07,3.3,3.4,1
1.33066e+07,3.3,3.4,1
1.33075e+07,3.3,3.4,1
1.33084e+07,3.3,3.4,1
1.33093e+07,3.3,3.4,1
1.33102e+07,3.3,3.4,1
1.33111e+07,3.3,3.4,1
1.3312e+07,3.3,3.4,1
1.33129e+07,3.3,3.4,1
1.33138e+07,3.3,3.4,1
1.33156e+07,3.3,3.4,1
1.33165e+07,3.3,3.4,1
1.33174e+07,3.3,3.4,1
1.33192e+07,3.3,3.4,1
1.33201e+07,3.3,3.4,1
1.3321e+07,3.3,3.4,1
1.33219e+07,3.3,3.4,1
1.33228e+07,3.3,3.4,1
1.33237e+07,3.3,3.4,1
1.33255e+07,3.3,3.4,1
1.33282e+07,3.3,3.4,1
1.33327e+07,3.3,3.4,1
1.33345e+07,3.3,3.4,1
1.33363e+07,3.3,3.4,1
1.33372e+07,3.3,3.4,1
1.3339e+07,3.3,3.4,1
1.33399e+07,3.3,3.4,1
1.33417e+07,3.3,3.4,1
1.33426e+07,3.3,3.4,1
1.33435e+07,3.3,3.4,1
1.33444e+07,3.3,3.4,1
1.33453e+07,3.3,3.4,1
1.33462e+07,3.3,3.4,1
1.3348e+07,3.3,3.4,1
1.33498e+07,3.3,3.4,1
1.33507e+07,3.3,3.4,1
1.33534e+07,3.3,3.4,1
1.33543e+07,3.3,3.4,1
1.33561e+07,3.3,3.4,1
1.3357e+07,3.3,3.4,1
1.33597e+07,3.3,3.4,1
1.33615e+07,3.3,3.4,1
1.33624e+07,3.3,3.4,1
1.33633e+07,3.3,3.4,1
1.33669e+07,3.3,3.4,1
1.34623e+07,3.3,3.4,1
1.34632e+07,3.3,3.4,1
1.3465e+07,3.3,3.4,1
1.34659e+07,3.3,3.4,1
1.34677e+07,3.3,3.4,1
1.34695e+07,3.3,3.4,1
1.34704e+07,3.3,3.4,1
1.34722e+07,3.3,3.4,1
1.34731e+07,3.3,3.4,1
1.3474e+07,3.3,3.4,1
1.34749e+07,3.3,3.4,1
1.34767e+07,3.3,3.4,1
1.34776e+07,3.3,3.4,1
1.34839e+07,3.3,3.4,1
1.34848e+07,3.3,3.4,1
1.34866e+07,3.3,3.4,1
1.34893e+07,3.3,3.4,1
1.34902e+07,3.3,3.4,1
1.3492e+07,3.3,3.4,1
1.34929e+07,3.3,3.4,1
1.35109e+07,3.3,3.4,1
1.35118e+07,3.3,3.4,1
1.35262e+07,3.2,3.4,1
1.35271e+07,3.2,3.4,1
1.3528e+07,3.2,3.4,1
1.35289e+07,3.2,3.4,1
1.35298e+07,3.2,3.4,1
1.35307e+07,3.2,3.4,1
1.37224e+07,3.2,3.4,1
1.37233e+07,3.2,3.4,1
1.37296e+07,3.2,3.4,1
1.37323e+07,3.2,3.4,1
1.38367e+07,3.2,3.4,1
1.38376e+07,3.2,3.4,1
1.38385e+07,3.2,3.4,1
1.38394e+07,3.2,3.4,1
1.38421e+07,3.2,3.4,1
1.3843e+07,3.2,3.4,1
1.38439e+07,3.2,3.4,1
1.38466e+07,3.2,3.4,1
1.38475e+07,3.2,3.4,1
1.38484e+07,3.2,3.4,1
1.38493e+07,3.2,3.4,1
1.38511e+07,3.2,3.4,1
1.3852e+07,3.2,3.4,1
1.38538e+07,3.2,3.4,1
1.38547e+07,3.2,3.4,1
1.38565e+07,3.2,3.4,1
1.38574e+07,3.2,3.4,1
1.38583e+07,3.2,3.4,1
1.3861e+07,3.2,3.4,1
1.38619e+07,3.2,3.4,1
1.38646e+07,3.2,3.4,1
1.38682e+07,3.2,3.4,1
1.38691e+07,3.2,3.4,1
1.387e+07,3.2,3.4,1
1.38709e+07,3.2,3.4,1
1.38718e+07,3.2,3.4,1
1.38727e+07,3.2,3.4,1
1.38736e+07,3.2,3.4,1
1.38745e+07,3.2,3.4,1
1.3879e+07,3.2,3.4,1
1.38817e+07,3.2,3.4,1
1.38835e+07,3.2,3.4,1
1.38844e+07,3.2,3.4,1
1.38853e+07,3.2,3.4,1
1.38862e+07,3.2,3.4,1
1.38871e+07,3.2,3.4,1
1.38889e+07,3.2,3.4,1
1.38907e+07,3.2,3.4,1
1.38916e+07,3.2,3.4,1
1.38925e+07,3.2,3.4,1
1.38934e+07,3.2,3.4,1
1.38943e+07,3.2,3.4,1
1.38962e+07,3.2,3.4,1
1.3897e+07,3.2,3.4,1
1.38979e+07,3.2,3.4,1
1.38988e+07,3.2,3.4,1
1.39006e+07,3.2,3.4,1
1.39016e+07,3.2,3.4,1
1.39025e+07,3.2,3.4,1
1.39042e+07,3.2,3.4,1
1.39051e+07,3.2,3.4,1
1.3915e+07,3.2,3.4,1
1.39159e+07,3.2,3.4,1
1.39196e+07,3.2,3.4,1
1.39204e+07,3.2,3.4,1
1.39213e+07,3.2,3.4,1
