FoS,days,distance_m_from_calib_to_test_point,day_of_failure,anomalous_failure
-47.12018,844,,,
-54.610283,845,,,
-59.782394,846,,,
-46.49993,847,,,
-42.918915,848,,,
-44.246872,849,,,
-40.281967,850,,,
-42.499954,851,,,
-56.968193,852,,,
-63.39814,853,,,
-55.529114,854,,,
-48.578102,855,,,
-45.65526,856,,,
-43.45986,857,,,
-42.06295,858,,,
-40.58741,859,,,
-39.84996,860,,,
-39.21643,861,,,
-55.8953,862,,,
-60.738266,863,,,
-50.080734,864,,,
-64.2808,865,,,
-54.6967,866,,,
-62.96821,867,,,
-65.441315,868,,,
-55.048103,869,,,
-52.687912,870,,,
-67.706795,871,,,
-56.040314,872,,,
-52.134026,873,,,
-49.852615,874,,,
-49.313034,875,,,
-46.95807,876,,,
-45.670616,877,,,
-44.215637,878,,,
-61.306686,879,,,
-50.435043,880,,,
-47.398743,881,,,
-49.07086,882,,,
-51.436462,883,,,
-49.673447,884,,,
-46.48472,885,,,
-44.57116,886,,,
-43.657265,887,,,
-43.41745,888,,,
-46.282066,889,,,
-43.20054,890,,,
-59.829933,891,,,
-53.549194,892,,,
-48.675537,893,,,
-50.995277,894,,,
-47.68135,895,,,
-45.140617,896,,,
-44.67594,897,,,
-49.73877,898,,,
-44.74099,899,,,
-45.149307,900,,,
-61.00254,901,,,
-49.577164,902,,,
-49.37931,903,,,
-46.88382,904,,,
-62.970795,905,,,
-52.11322,906,,,
-62.326675,907,,,
-53.18593,908,,,
-50.59381,909,,,
-48.17756,910,,,
-46.523315,911,,,
-45.171516,912,,,
-44.35582,913,,,
-44.08349,914,,,
-42.596733,915,,,
-41.63701,916,,,
-41.749954,917,,,
-58.71689,918,,,
-47.712883,919,,,
-45.119804,920,,,
-43.487007,921,,,
-52.909317,922,,,
-46.9534,923,,,
-44.39792,924,,,
-42.937424,925,,,
-41.790085,926,,,
-57.63436,927,,,
-50.308395,928,,,
-46.24111,929,,,
-44.32512,930,,,
-42.94487,931,,,
-41.82798,932,,,
-40.88652,933,,,
-40.04107,934,,,
-39.398827,935,,,
-56.897408,936,,,
-64.30798,937,,,
-60.172012,938,,,
-51.974625,939,,,
-48.95701,940,,,
-46.918953,941,,,
-45.538086,942,,,
-44.15287,943,,,
-43.03727,944,,,
-42.063423,945,,,
-41.19271,946,,,
-40.40091,947,,,
-39.67215,948,,,
-38.995567,949,,,
-49.77845,950,,,
-43.20495,951,,,
-41.246994,952,,,
-40.061493,953,,,
-39.139473,954,,,
-38.54603,955,,,
-37.75013,956,,,
-37.103607,957,,,
-36.513626,958,,,
-35.96492,959,,,
-35.464317,960,,,
-34.966827,961,,,
-34.499084,962,,,
-34.07728,963,,,
-33.633224,964,,,
-33.216614,965,,,
-32.814873,966,,,
-32.426277,967,,,
-32.06478,968,,,
-31.690903,969,,,
-32.610725,970,,,
-33.08956,971,,,
-32.312485,972,,,
-31.44838,973,,,
-30.943542,974,,,
-30.692436,975,,,
-48.473206,976,,,
-37.93502,977,,,
-35.69596,978,,,
-34.395714,979,,,
-33.437874,980,,,
-50.94902,981,,,
-55.120857,982,,,
-49.58423,983,,,
-61.80732,984,,,
-67.50278,985,,,
-53.777405,986,,,
-49.653564,987,,,
-47.01362,988,,,
-45.058197,989,,,
-43.59742,990,,,
-54.39067,991,,,
-46.49032,992,,,
-55.16236,993,,,
-50.11949,994,,,
-46.354584,995,,,
-44.484337,996,,,
-43.165314,997,,,
-43.585175,998,,,
-44.9569,999,,,
-45.20755,1000,,,
-42.33072,1001,,,
-41.098274,1002,,,
-40.045128,1003,,,
-39.18895,1004,,,
-40.56961,1005,,,
-40.668472,1006,,,
-38.736588,1007,,,
-37.83509,1008,,,
-37.099693,1009,,,
-36.592102,1010,,,
-43.497597,1011,,,
-38.732674,1012,,,
-37.44969,1013,,,
-37.992798,1014,,,
-36.478012,1015,,,
-35.711594,1016,,,
-35.07837,1017,,,
-34.51818,1018,,,
-34.00608,1019,,,
-33.529877,1020,,,
-33.08232,1021,,,
-32.657715,1022,,,
-32.25261,1023,,,
-31.864807,1024,,,
-31.491463,1025,,,
-49.399345,1026,,,
-57.123978,1027,,,
-46.268265,1028,,,
-42.234795,1029,,,
-40.158005,1030,,,
-38.732124,1031,,,
-37.674446,1032,,,
-36.78018,1033,,,
-35.917442,1034,,,
-35.197952,1035,,,
-34.55793,1036,,,
-34.651207,1037,,,
-33.74952,1038,,,
-33.20896,1039,,,
-50.955055,1040,,,
-58.560364,1041,,,
-64.32069,1042,,,
-55.648323,1043,,,
-49.73529,1044,,,
-56.414757,1045,,,
-48.801292,1046,,,
-46.19947,1047,,,
-62.652794,1048,,,
-69.299194,1049,,,
-60.412148,1050,,,
-72.37107,1051,,,
-59.28189,1052,,,
-55.274094,1053,,,
-52.636604,1054,,,
-50.654617,1055,,,
-49.156624,1056,,,
-47.845543,1057,,,
-46.53961,1058,,,
-45.44706,1059,,,
-45.93486,1060,,,
-50.770493,1061,,,
-46.157135,1062,,,
-44.655144,1063,,,
-61.822876,1064,,,
-68.97891,1065,,,
-58.290985,1066,,,
-64.770584,1067,,,
-74.256584,1068,,,
-61.170067,1069,,,
-57.252617,1070,,,
-54.666367,1071,,,
-52.71939,1072,,,
-51.393417,1073,,,
-68.17745,1074,,,
-56.81356,1075,,,
-57.63777,1076,,,
-54.100212,1077,,,
-70.217316,1078,,,
-60.010582,1079,,,
-74.344124,1080,,,
-65.3596,1081,,,
-59.94744,1082,,,
-57.26291,1083,,,
-55.295692,1084,,,
-54.179497,1085,,,
-52.574577,1086,,,
-51.360237,1087,,,
-50.32229,1088,,,
-49.334892,1089,,,
-48.44931,1090,,,
-47.668655,1091,,,
-65.156586,1092,,,
-72.51408,1093,,,
-59.89052,1094,,,
-56.877495,1095,,,
-54.685196,1096,,,
-54.235756,1097,,,
-70.31565,1098,,,
-60.630653,1099,,,
-57.204338,1100,,,
-54.785576,1101,,,
-53.151817,1102,,,
-52.263077,1103,,,
-51.020752,1104,,,
-50.208847,1105,,,
-67.39825,1106,,,
-74.61196,1107,,,
-76.2483,1108,,,
-64.619934,1109,,,
-60.90226,1110,,,
-58.48796,1111,,,
-59.459534,1112,,,
-59.005188,1113,,,
-55.966568,1114,,,
-54.643326,1115,,,
-53.28763,1116,,,
-52.52942,1117,,,
-51.505707,1118,,,
-60.636543,1119,,,
-54.146408,1120,,,
-52.34253,1121,,,
-51.094444,1122,,,
-50.085968,1123,,,
-49.21488,1124,,,
-48.43563,1125,,,
-47.722496,1126,,,
-47.062683,1127,,,
-64.465324,1128,,,
-72.09229,1129,,,
-77.76153,1130,,,
-65.12246,1131,,,
-60.67794,1132,,,
-76.31939,1133,,,
-82.480736,1134,,,
